jump,run_fire,timestamp_ns,rawValue,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal
0,0,38429609600,54,7503,35146,9079,96031,13179,6154,5905,4392,0
1,0,38540699700,53,7503,35146,9079,96031,13179,6154,5905,4392,0
1,0,38652651100,23,7503,35146,9079,96031,13179,6154,5905,4392,0
1,0,38760127400,22,7503,35146,9079,96031,13179,6154,5905,4392,0
1,0,38871192700,-10,7503,35146,9079,96031,13179,6154,5905,4392,0
1,0,38979548100,41,7503,35146,9079,96031,13179,6154,5905,4392,0
0,0,39090281900,-36,7503,35146,9079,96031,13179,6154,5905,4392,0
0,0,39201443600,57,488072,48537,17192,55891,12910,12602,8727,6243,0
0,0,39310189300,25,488072,48537,17192,55891,12910,12602,8727,6243,0
0,0,39420610000,50,488072,48537,17192,55891,12910,12602,8727,6243,0
0,0,39530740000,60,488072,48537,17192,55891,12910,12602,8727,6243,0
0,0,39640279200,18,488072,48537,17192,55891,12910,12602,8727,6243,0
0,0,39748669200,105,488072,48537,17192,55891,12910,12602,8727,6243,0
0,0,39857888700,105,488072,48537,17192,55891,12910,12602,8727,6243,0
0,0,39967706100,69,488072,48537,17192,55891,12910,12602,8727,6243,0
0,0,40076007200,12,488072,48537,17192,55891,12910,12602,8727,6243,0
0,0,40187215700,87,13029,16265,6144,45674,8312,15141,6800,6181,0
0,0,40299586200,-90,13029,16265,6144,45674,8312,15141,6800,6181,0
0,0,40408954200,45,13029,16265,6144,45674,8312,15141,6800,6181,0
1,0,40519325600,44,13029,16265,6144,45674,8312,15141,6800,6181,0
1,0,40627832100,48,13029,16265,6144,45674,8312,15141,6800,6181,0
0,0,40736323900,48,13029,16265,6144,45674,8312,15141,6800,6181,0
0,0,40844547900,8,13029,16265,6144,45674,8312,15141,6800,6181,0
0,0,40954613900,13,13029,16265,6144,45674,8312,15141,6800,6181,0
0,0,41065922800,103,13029,16265,6144,45674,8312,15141,6800,6181,0
0,0,41174951900,68,67559,60153,17670,40282,12889,12643,3309,4486,0
0,0,41285664200,61,67559,60153,17670,40282,12889,12643,3309,4486,0
1,0,41394126100,50,67559,60153,17670,40282,12889,12643,3309,4486,0
1,0,41504216700,25,67559,60153,17670,40282,12889,12643,3309,4486,0
1,0,41613424500,17,67559,60153,17670,40282,12889,12643,3309,4486,0
0,0,41722645800,69,67559,60153,17670,40282,12889,12643,3309,4486,0
0,0,41834725500,11,67559,60153,17670,40282,12889,12643,3309,4486,0
0,0,41943653700,72,67559,60153,17670,40282,12889,12643,3309,4486,0
0,0,42053336900,-12,67559,60153,17670,40282,12889,12643,3309,4486,0
0,0,42165824900,24,8441,17380,13826,29230,25023,10934,5546,4312,0
0,0,42273404900,8,8441,17380,13826,29230,25023,10934,5546,4312,0
0,0,42385071500,22,8441,17380,13826,29230,25023,10934,5546,4312,0
0,0,42492628500,8,8441,17380,13826,29230,25023,10934,5546,4312,0
